,col1
208,https://www.whoscored.com/Matches/1394203/Live/Spain-LaLiga-2019-2020-Levante-Valencia
209,https://www.whoscored.com/Matches/1394334/Live/Spain-LaLiga-2019-2020-Barcelona-Mallorca
210,https://www.whoscored.com/Matches/1394336/Live/Spain-LaLiga-2019-2020-Eibar-Getafe
211,https://www.whoscored.com/Matches/1394335/Live/Spain-LaLiga-2019-2020-Real-Betis-Athletic-Bilbao
212,https://www.whoscored.com/Matches/1394211/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Real-Sociedad
213,https://www.whoscored.com/Matches/1394201/Live/Spain-LaLiga-2019-2020-Leganes-Celta-Vigo
214,https://www.whoscored.com/Matches/1394205/Live/Spain-LaLiga-2019-2020-Osasuna-Sevilla
215,https://www.whoscored.com/Matches/1394213/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Leganes
216,https://www.whoscored.com/Matches/1394225/Live/Spain-LaLiga-2019-2020-Granada-Levante
217,https://www.whoscored.com/Matches/1394227/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Barcelona
218,https://www.whoscored.com/Matches/1394215/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Eibar
219,https://www.whoscored.com/Matches/1394217/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Osasuna
220,https://www.whoscored.com/Matches/1394223/Live/Spain-LaLiga-2019-2020-Getafe-Real-Valladolid
221,https://www.whoscored.com/Matches/1394219/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Mallorca
222,https://www.whoscored.com/Matches/1394221/Live/Spain-LaLiga-2019-2020-Espanyol-Real-Betis
223,https://www.whoscored.com/Matches/1394229/Live/Spain-LaLiga-2019-2020-Sevilla-Villarreal
224,https://www.whoscored.com/Matches/1394231/Live/Spain-LaLiga-2019-2020-Valencia-Real-Madrid
225,https://www.whoscored.com/Matches/1394515/Live/Spain-LaLiga-2019-2020-Barcelona-Real-Madrid
226,https://www.whoscored.com/Matches/1394239/Live/Spain-LaLiga-2019-2020-Eibar-Granada
227,https://www.whoscored.com/Matches/1394248/Live/Spain-LaLiga-2019-2020-Mallorca-Sevilla
228,https://www.whoscored.com/Matches/1394233/Live/Spain-LaLiga-2019-2020-Barcelona-Deportivo-Alaves
229,https://www.whoscored.com/Matches/1394257/Live/Spain-LaLiga-2019-2020-Villarreal-Getafe
230,https://www.whoscored.com/Matches/1394260/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Valencia
231,https://www.whoscored.com/Matches/1394242/Live/Spain-LaLiga-2019-2020-Leganes-Espanyol
232,https://www.whoscored.com/Matches/1394251/Live/Spain-LaLiga-2019-2020-Osasuna-Real-Sociedad
233,https://www.whoscored.com/Matches/1394236/Live/Spain-LaLiga-2019-2020-Real-Betis-Atletico-Madrid
234,https://www.whoscored.com/Matches/1394245/Live/Spain-LaLiga-2019-2020-Levante-Celta-Vigo
235,https://www.whoscored.com/Matches/1394254/Live/Spain-LaLiga-2019-2020-Real-Madrid-Athletic-Bilbao
236,https://www.whoscored.com/Matches/1394238/Live/Spain-LaLiga-2019-2020-Espanyol-Valencia
237,https://www.whoscored.com/Matches/1394247/Live/Spain-LaLiga-2019-2020-Levante-Barcelona
238,https://www.whoscored.com/Matches/1394256/Live/Spain-LaLiga-2019-2020-Sevilla-Atletico-Madrid
239,https://www.whoscored.com/Matches/1394253/Live/Spain-LaLiga-2019-2020-Real-Madrid-Real-Betis
240,https://www.whoscored.com/Matches/1394262/Live/Spain-LaLiga-2019-2020-Real-Valladolid-Mallorca
241,https://www.whoscored.com/Matches/1394259/Live/Spain-LaLiga-2019-2020-Villarreal-Athletic-Bilbao
242,https://www.whoscored.com/Matches/1394250/Live/Spain-LaLiga-2019-2020-Osasuna-Deportivo-Alaves
243,https://www.whoscored.com/Matches/1394235/Live/Spain-LaLiga-2019-2020-Celta-Vigo-Getafe
244,https://www.whoscored.com/Matches/1394244/Live/Spain-LaLiga-2019-2020-Leganes-Eibar
245,https://www.whoscored.com/Matches/1394241/Live/Spain-LaLiga-2019-2020-Granada-Real-Sociedad
246,https://www.whoscored.com/Matches/1394289/Live/Spain-LaLiga-2019-2020-Real-Sociedad-Leganes
247,https://www.whoscored.com/Matches/1394265/Live/Spain-LaLiga-2019-2020-Deportivo-Alaves-Real-Valladolid
248,https://www.whoscored.com/Matches/1394292/Live/Spain-LaLiga-2019-2020-Valencia-Granada
249,https://www.whoscored.com/Matches/1394280/Live/Spain-LaLiga-2019-2020-Eibar-Real-Madrid
250,https://www.whoscored.com/Matches/1394274/Live/Spain-LaLiga-2019-2020-Barcelona-Celta-Vigo
251,https://www.whoscored.com/Matches/1394286/Live/Spain-LaLiga-2019-2020-Mallorca-Villarreal
252,https://www.whoscored.com/Matches/1394268/Live/Spain-LaLiga-2019-2020-Athletic-Bilbao-Levante
253,https://www.whoscored.com/Matches/1394271/Live/Spain-LaLiga-2019-2020-Atletico-Madrid-Espanyol
254,https://www.whoscored.com/Matches/1394283/Live/Spain-LaLiga-2019-2020-Getafe-Osasuna
255,https://www.whoscored.com/Matches/1394277/Live/Spain-LaLiga-2019-2020-Real-Betis-Sevilla
256,https://www.whoscored.com/Matches/1394310/Live/Spain-LaLiga-2019-2020-Levante-Mallorca
257,https://www.whoscored.com/Matches/1394307/Live/Spain-LaLiga-2019-2020-Leganes-Barcelona
258,https://www.whoscored.com/Matches/1394295/Live/Spain-LaLiga-2019-2020-Real-Betis-Valencia
259,https://www.whoscored.com/Matches/1394304/Live/Spain-LaLiga-2019-2020-Granada-Atletico-Madrid
